Year,Month,Month_Num,Capacity_MWh,Capacity_%,Delivery_Hrs,Delivery_%,Solar_Hrs,BESS_Hrs,DG_Hrs,Curtailed_MWh,Wastage_%,Charging_Loss_MWh,Discharging_Loss_MWh
1,Jan,1,250.0,100.0,743,99.9,47,46,692,0.0,0.0,57.78,55.78
1,Feb,2,250.0,100.0,696,100.0,91,77,605,0.0,0.0,81.67,71.63
1,Mar,3,250.0,100.0,744,100.0,232,159,455,88.0,1.1,208.07,181.74
1,Apr,4,250.0,100.0,720,100.0,316,214,328,261.2,2.5,277.95,237.97
1,May,5,250.0,100.0,744,100.0,327,226,346,494.6,4.5,287.54,253.01
1,Jun,6,250.0,100.0,720,100.0,377,254,235,647.8,4.8,351.56,307.09
1,Jul,7,250.0,100.0,744,100.0,402,278,208,678.8,4.6,397.1,343.99
1,Aug,8,250.0,100.0,744,100.0,362,236,287,128.9,1.1,329.23,287.54
1,Sep,9,250.0,100.0,720,100.0,225,150,466,22.8,0.3,161.77,141.15
1,Oct,10,250.0,100.0,744,100.0,160,106,580,0.0,0.0,100.47,87.08
1,Nov,11,250.0,100.0,720,100.0,58,58,662,0.0,0.0,61.39,53.22
1,Dec,12,250.0,100.0,721,96.9,47,47,674,0.0,0.0,54.69,47.05
2,Jan,1,245.0,98.0,743,99.9,47,46,692,0.0,0.0,58.43,56.42
2,Feb,2,245.0,98.0,696,100.0,91,77,605,0.0,0.0,80.34,70.3
2,Mar,3,245.0,98.0,744,100.0,233,159,455,93.0,1.2,206.54,180.55
2,Apr,4,245.0,98.0,720,100.0,316,212,330,325.7,3.1,272.92,233.91
2,May,5,245.0,98.0,744,100.0,324,224,348,540.0,4.9,287.76,252.93
2,Jun,6,245.0,98.0,720,100.0,374,251,238,708.1,5.3,346.58,301.11
2,Jul,7,245.0,98.0,744,100.0,403,276,210,759.9,5.1,392.84,341.82
2,Aug,8,245.0,98.0,744,100.0,362,235,288,157.6,1.3,326.22,284.78
2,Sep,9,245.0,98.0,720,100.0,224,149,467,30.3,0.5,163.68,141.87
2,Oct,10,245.0,98.0,744,100.0,157,106,580,0.0,0.0,100.75,87.35
2,Nov,11,245.0,98.0,720,100.0,58,58,662,0.0,0.0,64.0,55.82
2,Dec,12,245.0,98.0,721,96.9,47,47,674,0.0,0.0,55.37,47.72
3,Jan,1,240.1,96.0,743,99.9,47,46,692,0.0,0.0,58.74,56.73
3,Feb,2,240.1,96.0,696,100.0,91,77,605,0.0,0.0,80.99,70.95
3,Mar,3,240.1,96.0,744,100.0,231,158,456,92.3,1.2,207.67,179.95
3,Apr,4,240.1,96.0,720,100.0,315,212,330,348.4,3.3,269.47,231.99
3,May,5,240.1,96.0,744,100.0,329,224,348,556.2,5.1,283.76,250.01
3,Jun,6,240.1,96.0,720,100.0,369,249,240,759.8,5.7,350.15,304.8
3,Jul,7,240.1,96.0,744,100.0,400,274,212,807.2,5.4,388.76,337.56
3,Aug,8,240.1,96.0,744,100.0,362,235,288,161.9,1.3,324.58,283.42
3,Sep,9,240.1,96.0,720,100.0,225,149,467,30.5,0.5,162.29,140.5
3,Oct,10,240.1,96.0,744,100.0,157,106,580,0.0,0.0,102.34,88.95
3,Nov,11,240.1,96.0,720,100.0,58,58,662,0.0,0.0,62.13,53.96
3,Dec,12,240.1,96.0,721,96.9,47,47,674,0.0,0.0,54.97,47.32
4,Jan,1,235.3,94.1,743,99.9,48,46,692,0.0,0.0,58.84,56.83
4,Feb,2,235.3,94.1,696,100.0,91,77,605,0.0,0.0,81.88,71.83
